"v_index","v_chr","v_start","v_end","v_r_ctcf","v_r_ctcf_strand","v_r_ctcf_motif","v_r_ctcf_cohesin","v_l_ctcf","v_l_ctcf_strand","v_l_ctcf_motif","v_l_ctcf_cohesin","h3k4me3","h3k27ac","atac","pol2","tad_index","v_center"
10,18,0.00829090163479071,0.00886851893636051,0.690065171881716,1,3.35480475120157,0,0.671047305387457,1,3.83920378809694,1,0.807001380395555,0.705473921901379,0.544309284158435,0.836413437901487,".7982.7983.",0.00857971028557561
11,18,0.00886851893636051,0.00908560599457892,0.684367786644246,-1,3.74708658302782,1,0.66828586235208,1,3.35480475120157,0,0.7955184225677,0.665161812786363,0.513528032406186,0.729588038812513,".7982.7983.7984.",0.00897706246546971
12,18,0.00908560599457892,0.00923222187571405,0.666354389875931,1,4.21782008411665,1,0.690065171881716,-1,3.74708658302782,1,0.78893240038688,0.665653067306635,0.522367231736937,0.718331949105747,".7982.7984.",0.00915891393514649
13,18,0.00923222187571405,0.0103407867427591,0.774949452464419,-1,4.05234633147889,1,0.684367786644246,1,4.21782008411665,1,0.822248752620977,0.747998371828939,0.570084091820467,0.730179966168041,".7982.7984.",0.00978650430923658
14,18,0.0103407867427591,0.0104453488494342,0.730021624205013,-1,4.63347189819963,1,0.666354389875931,-1,4.05234633147889,1,0.778402471514466,0.625864980751689,0.52831741589377,0.706475461317605,".7982.7984.",0.0103930677960967
15,18,0.0104453488494342,0.0107618594909988,0.676761708877489,1,4.09032841067919,1,0.774949452464419,-1,4.63347189819963,1,0.791894790807295,0.632793175496156,0.505028027797555,0.662220995915859,".7982.",0.0106036041702165
16,18,0.0107618594909988,0.0119664512903759,0.65288337031267,-1,4.23676046792618,1,0.730021624205013,1,4.09032841067919,1,0.792595138681643,0.618842392965426,0.49998179938782,0.677543359297464,".",0.0113641553906873
17,18,0.0119664512903759,0.0197339700623161,0.657741882270623,1,4.09863009825879,0,0.676761708877489,-1,4.23676046792618,1,0.797587204698705,0.616382551662093,0.494477862512871,0.645144288236355,".",0.015850210676346
18,18,0.0197339700623161,0.0207072536602181,0.656252831509313,-1,4.19990786765803,0,0.65288337031267,1,4.09863009825879,0,0.795078402860582,0.596780913148907,0.486662126382952,0.629900712516224,".",0.0202206118612671
19,18,0.0207072536602181,0.0238220448498528,0.658716642179384,1,3.84579110371371,1,0.657741882270623,-1,4.19990786765803,0,0.793922846554956,0.620475613201962,0.49434983257897,0.636182057501545,".",0.0222646492550354
20,18,0.0238220448498528,0.0259273339393805,0.67928559100182,-1,3.15688681661594,0,0.656252831509313,1,3.84579110371371,1,0.795101094218772,0.625144496012703,0.505794609738548,0.64393541807032,".",0.0248746893946166
21,18,0.0259273339393805,0.0261912275950896,0.664045846982423,1,4.62486708631199,0,0.658716642179384,-1,3.15688681661594,0,0.80092675815546,0.609071894330095,0.517737560325634,0.639916581916881,".",0.026059280767235
22,18,0.0261912275950896,0.0276718688305449,0.708710096832731,-1,3.54916395420882,0,0.67928559100182,1,4.62486708631199,0,0.800722487822715,0.628652568211663,0.512290861877188,0.652064521246822,".",0.0269315482128172
23,18,0.0276718688305449,0.0277567851058968,0.666042338148053,-1,4.01771706638199,1,0.664045846982423,-1,3.54916395420882,0,0.802869674572687,0.616717928851341,0.493496524973926,0.627550986284883,".",0.0277143269682208
24,18,0.0277567851058968,0.0290860078694059,0.662767947665669,1,3.64869551958324,0,0.708710096832731,-1,4.01771706638199,1,0.794190081072122,0.621117295260421,0.513414184001061,0.653719609559984,".7985.",0.0284213964876513
25,18,0.0290860078694059,0.0307531165361724,0.669929599227051,-1,3.93663793900257,1,0.666042338148053,1,3.64869551958324,0,0.799005561727486,0.635974675144664,0.511128487781313,0.644217604877488,".7985.",0.0299195622027892
26,18,0.0307531165361724,0.0316291538911219,0.747521199442543,-1,3.65622176328646,1,0.662767947665669,-1,3.93663793900257,1,0.797089100960792,0.648239629738344,0.524123179070574,0.67218271441304,".7985.",0.0311911352136472
27,18,0.0316291538911219,0.0316976467989333,0.859196824546692,-1,3.87671338528143,1,0.669929599227051,-1,3.65622176328646,1,0.792812729176369,0.67185408542963,0.498970131859525,0.671805614276892,".7985.",0.0316634003450276
28,18,0.0316976467989333,0.0317022254347325,0.661210220107564,0,-9.96578428466209,1,0.747521199442543,-1,3.87671338528143,1,0.820229358535062,0.657549874357297,0.633384821808194,0.643841602110543,".",0.0316999361168329
29,18,0.0317022254347325,0.0328285076316092,0.659337459196653,1,3.94433373402111,0,0.859196824546692,0,-9.96578428466209,1,0.823737067072598,0.780676151946323,0.577621534347403,0.743652905438866,".7986.",0.0322653665331708
30,18,0.0328285076316092,0.0344198821785124,0.662326242402398,1,3.77499784895625,1,0.661210220107564,1,3.94433373402111,0,0.82502785373035,0.762621898747538,0.561867170647061,0.772232260448405,".7986.7987.",0.0336241949050608
31,18,0.0344198821785124,0.0361659101030896,0.688571977401944,0,-9.96578428466209,0,0.659337459196653,1,3.77499784895625,1,0.803679548249155,0.687349799370866,0.516142644127933,0.734986167053219,".7986.7987.7988.",0.035292896140801
32,18,0.0361659101030896,0.0364842372686397,0.674624985597228,1,4.14615827341068,0,0.662326242402398,0,-9.96578428466209,0,0.821963420174322,0.723679920754754,0.540152012384619,0.827194218961732,".7989.7990.",0.0363250736858646
33,18,0.0364842372686397,0.0369653921697987,0.689907388314181,0,-9.96578428466209,1,0.688571977401944,1,4.14615827341068,0,0.832279580695755,0.824621283766642,0.632095159170341,0.737154298274868,".7989.7990.",0.0367248147192192
34,18,0.0369653921697987,0.0371104030400151,0.742840570632194,0,-9.96578428466209,1,0.674624985597228,0,-9.96578428466209,1,0.868556197416035,0.864463934916829,0.716996695529606,0.789128750533635,".7989.7990.",0.0370378976049069
35,18,0.0371104030400151,0.03714952051543,0.738223536056589,-1,3.78704582728033,1,0.689907388314181,0,-9.96578428466209,1,0.846585038407572,0.809163543629253,0.68014627866996,0.760590862306824,".7989.7990.",0.0371299617777225
36,18,0.03714952051543,0.0372601916171524,0.678784895676287,1,3.87993116977324,1,0.742840570632194,-1,3.78704582728033,1,0.815913838384862,0.759897737443672,0.564821982500753,0.732352458905004,".7989.7990.",0.0372048560662912
37,18,0.0372601916171524,0.0381116934563518,0.681231324293883,-1,3.94433373402111,0,0.738223536056589,1,3.87993116977324,1,0.816256314487785,0.748089003767478,0.582739482167717,0.722771251752883,".7989.7990.",0.0376859425367521
38,18,0.0381116934563518,0.038936532207188,0.72347560194949,-1,4.14348321697049,0,0.678784895676287,-1,3.94433373402111,0,0.794451130045203,0.652231471352574,0.528512583221413,0.665417253920149,".7989.",0.0385241128317699
39,18,0.038936532207188,0.0392124323399249,0.668908959721879,0,-9.96578428466209,0,0.681231324293883,-1,4.14348321697049,0,0.80032065448512,0.646582188753252,0.52457216511778,0.657344895459404,".7989.7991.",0.0390744822735564
40,18,0.0392124323399249,0.0403890546467026,0.68663967272675,-1,3.42254250093319,0,0.72347560194949,0,-9.96578428466209,0,0.810802948191823,0.761634416531215,0.595984843773963,0.697992705322721,".7989.7991.",0.0398007434933137
41,18,0.0403890546467026,0.0408293502001318,0.696429609293007,1,4.06511558117579,0,0.668908959721879,-1,3.42254250093319,0,0.884782091033316,0.851623351453819,0.672156291569231,0.81655119461402,".7989.7991.7992.7993.",0.0406092024234172
42,18,0.0408293502001318,0.041028421321836,0.684644661518494,-1,4.24551087462333,0,0.68663967272675,1,4.06511558117579,0,0.825896515671401,0.664014885753049,0.56475668888658,0.737425348066457,".7992.7993.",0.0409288857609839
43,18,0.041028421321836,0.0413468729068371,0.66493132466858,-1,4.19733859200439,1,0.696429609293007,-1,4.24551087462333,0,0.80329620641153,0.605818450314684,0.538174064001018,0.657401697275246,".7992.7993.",0.0411876471143366
44,18,0.0413468729068371,0.0429854148676392,0.680815679580255,-1,4.05091955703524,1,0.684644661518494,-1,4.19733859200439,1,0.813945042918423,0.702830090442111,0.542888113095024,0.718886745066034,".7992.7993.",0.0421661438872382
45,18,0.0429854148676392,0.0433231265836652,0.671575115931932,0,-9.96578428466209,1,0.66493132466858,-1,4.05091955703524,1,0.80252194225779,0.660106980588828,0.538128204139824,0.687056059650353,".7992.7994.",0.0431542707256522
46,18,0.0433231265836652,0.0446169395714011,0.739707142213152,-1,4.31012922739536,1,0.680815679580255,0,-9.96578428466209,1,0.798573790108532,0.655971762624705,0.54336931455047,0.668459755782374,".7992.7994.",0.0439700330775332
47,18,0.0446169395714011,0.0447217754008686,0.788211092071334,-1,4.35010115878379,1,0.671575115931932,-1,4.31012922739536,1,0.830802108285839,0.803563719850797,0.725268215563628,0.78406530115322,".7992.7994.",0.0446693574861349
48,18,0.0447217754008686,0.044752195956654,0.676207013317271,-1,3.56124058656223,1,0.739707142213152,-1,4.35010115878379,1,0.892117920756486,0.916648216463561,0.800058234009727,0.852881891797531,".7992.7994.7995.",0.0447369856787613
49,18,0.044752195956654,0.0456179189391102,0.680654455258573,-1,3.74003166748546,1,0.788211092071334,-1,3.56124058656223,1,0.809418353272357,0.709694753616938,0.563073102875215,0.719585082554506,".7992.7995.",0.0451850574478821
50,18,0.0456179189391102,0.0460826255888384,0.681508128239877,1,3.65058076460224,1,0.676207013317271,-1,3.74003166748546,1,0.796505339237221,0.626828864622607,0.519024117404084,0.664720686718837,".7992.7995.",0.0458502722639743
51,18,0.0460826255888384,0.046924808411153,0.793163169607553,1,4.23676046792618,0,0.680654455258573,1,3.65058076460224,1,0.791738759142494,0.628066508011104,0.532390829870501,0.658546937702764,".7996.",0.0465037169999957
52,18,0.046924808411153,0.0469507747505903,0.666348580301289,0,-9.96578428466209,0,0.681508128239877,1,4.23676046792618,0,0.794452482408789,0.656245054051076,0.609471183077775,0.677023624142484,".7996.",0.0469377915808717
53,18,0.0469507747505903,0.0483421699137966,0.668190399227393,0,-9.96578428466209,0,0.793163169607553,0,-9.96578428466209,0,0.795773809940142,0.637415154238469,0.539739360266568,0.672095403559135,".7996.",0.0476464723321935
54,18,0.0483421699137966,0.0497145040170997,0.759685038435842,-1,4.14214382640671,0,0.666348580301289,0,-9.96578428466209,0,0.794276112614892,0.637989966874111,0.546480111063501,0.677663579572477,".7996.",0.0490283369654482
55,18,0.0497145040170997,0.0497542435897699,0.680854974965151,-1,4.33142576399544,1,0.668190399227393,-1,4.14214382640671,0,0.773071478110383,0.598740754396817,0.572453145904084,0.626692154776633,".7996.",0.0497343738034348
56,18,0.0497542435897699,0.0499875798282974,0.670570332034452,-1,3.78017359305477,0,0.759685038435842,-1,4.33142576399544,1,0.796354185547669,0.63443222082943,0.559020084070899,0.672023415657038,".7996.",0.0498709117090337
57,18,0.0499875798282974,0.0506231641521185,0.674663686030667,-1,3.83920378809694,1,0.680854974965151,-1,3.78017359305477,0,0.799315341885351,0.635355735807673,0.548888236485371,0.650739541421781,".",0.0503053719902079
58,18,0.0506231641521185,0.0510941166582901,0.659150600660207,1,4.12733612657706,0,0.670570332034452,-1,3.83920378809694,1,0.798614542506009,0.623448178035965,0.55862633047445,0.653619474055254,".7997.7998.",0.0508586404052043
59,18,0.0510941166582901,0.0553728891384743,0.651464916001008,1,3.40255847296198,1,0.674663686030667,1,4.12733612657706,0,0.800538290368854,0.68114730432444,0.596767990233088,0.673121226659296,".7997.7998.7999.",0.0532335028983822
60,18,0.0553728891384743,0.0625022107781211,0.683025869081515,-1,4.34196440542815,1,0.659150600660207,1,3.40255847296198,1,0.799515790446109,0.640581470183008,0.538035926518438,0.644822009661797,".7997.7998.7999.8000.",0.0589375499582977
61,18,0.0625022107781211,0.0629304252028519,0.731267233211692,-1,3.93354431281854,1,0.651464916001008,-1,4.34196440542815,1,0.803867200243455,0.630470056232017,0.555104317499154,0.645537703714298,".7997.7999.8000.",0.0627163179904865
62,18,0.0629304252028519,0.0630379982602428,0.735679704195779,-1,4.2317319147641,1,0.683025869081515,-1,3.93354431281854,1,0.79933186368495,0.654125041141268,0.593646163102443,0.675372706542598,".7997.7999.8000.",0.0629842117315474
63,18,0.0630379982602428,0.0631235117489599,0.920362277608031,1,4.00599275432255,1,0.731267233211692,-1,4.2317319147641,1,0.801778533092943,0.631139835445411,0.54788401479295,0.683132058906176,".",0.0630807550046013
64,18,0.0631235117489599,0.0631283392236612,0.688030050250216,0,-9.96578428466209,1,0.735679704195779,1,4.00599275432255,1,0.74816253303139,0.678673443370258,0.657075225254592,0.660659111106734,".",0.0631259254863105
65,18,0.0631283392236612,0.0635399436516748,0.652394579032577,-1,3.98074738128061,1,0.920362277608031,0,-9.96578428466209,1,0.795105752616378,0.625691839744222,0.492635685398572,0.657488859551889,".",0.063334141437668
66,18,0.0635399436516748,0.0651685196144465,0.660198403307239,1,3.33853851368556,1,0.688030050250216,-1,3.98074738128061,1,0.802974458673524,0.658170449186398,0.503000400627509,0.666608707789511,".8001.",0.0643542316330607
67,18,0.0651685196144465,0.0674989830265119,0.658911159915174,1,4.22288955021629,1,0.652394579032577,1,3.33853851368556,1,0.811095098764583,0.701122633501823,0.5284787708216,0.730222541996385,".8001.",0.0663337513204792
68,18,0.0674989830265119,0.0690136405398883,0.658163281991586,0,-9.96578428466209,1,0.660198403307239,1,4.22288955021629,1,0.796028030899556,0.625541136259795,0.501076895833046,0.660642045289281,".",0.0682563117832001
69,18,0.0690136405398883,0.0730141240338752,0.73805538951226,1,4.01479267751682,0,0.658911159915174,0,-9.96578428466209,1,0.796354552126491,0.626744560223156,0.501814251819925,0.659303416414356,".8002.",0.0710138822868818
70,18,0.0730141240338752,0.0731533618415622,0.719320134954464,1,3.87026607039598,0,0.658163281991586,1,4.01479267751682,0,0.803343267384072,0.619648757852838,0.534379609686268,0.673650179232847,".8002.",0.0730837429377187
71,18,0.0731533618415622,0.0732924752297981,0.662706111704791,-1,4.05519565424212,0,0.73805538951226,1,3.87026607039598,0,0.811112428729987,0.638382369229682,0.519838885922869,0.64615901272119,".8002.",0.0732229185356801
72,18,0.0732924752297981,0.0752109236296613,0.661882216837646,-1,3.55118375961727,1,0.719320134954464,-1,4.05519565424212,0,0.804920533969642,0.683525975992645,0.585199384927464,0.693952318661402,".8002.",0.0742516994297297
73,18,0.0752109236296613,0.0773803136203777,0.662628591932057,-1,4.28365513051515,1,0.662706111704791,-1,3.55118375961727,1,0.79737700897332,0.652299581324799,0.517102456419647,0.679965168062454,".8002.",0.0762956186250195
74,18,0.0773803136203777,0.079809590960479,0.665459880865006,0,-9.96578428466209,1,0.661882216837646,-1,4.28365513051515,1,0.80766082216932,0.677361222554798,0.545690866960223,0.693227920560382,".8002.8003.",0.0785949522904283
75,18,0.079809590960479,0.0806581938264686,0.687790710623584,-1,4.0889387268795,0,0.662628591932057,0,-9.96578428466209,1,0.809860995001936,0.664482411588688,0.523280582357344,0.678996274871353,".8002.8003.",0.0802338923934738
76,18,0.0806581938264686,0.0811465401718992,0.71236790107006,-1,3.78704582728033,1,0.665459880865006,-1,4.0889387268795,0,0.797470883032566,0.630990385500272,0.510899253537312,0.662432875545244,".8002.",0.0809023669991839
77,18,0.0811465401718992,0.0814140544336343,0.656733319205483,1,4.36968283678511,1,0.687790710623584,-1,3.78704582728033,1,0.79892303248324,0.635143366497476,0.515313970722975,0.651032374977414,".",0.0812802973027667
78,18,0.0814140544336343,0.085680397410657,0.680785818842425,-1,3.94126597539026,1,0.71236790107006,1,4.36968283678511,1,0.797321616551018,0.625681073135436,0.495890834387625,0.659576387366327,".8004.8005.",0.0835472259221457
79,18,0.085680397410657,0.0861007236421903,0.66224465553874,1,3.24683368791054,1,0.656733319205483,-1,3.94126597539026,1,0.800475679353735,0.601701959770072,0.493794354207663,0.647647259199912,".8004.8005.",0.0858905605264237
80,18,0.0861007236421903,0.0871019642907466,0.675188870824479,-1,3.87187321162939,1,0.680785818842425,1,3.24683368791054,1,0.79261411397508,0.613611265803767,0.493324821102434,0.672597917122573,".",0.0866013439664685
81,18,0.0871019642907466,0.0873735346265864,0.676005499013567,-1,4.08615533696014,0,0.66224465553874,-1,3.87187321162939,1,0.79214066789089,0.599577058653958,0.491555192343896,0.682335114017569,".8006.",0.0872377494586665
82,18,0.0873735346265864,0.0875712744601642,0.65884385485788,1,3.26908402899299,0,0.675188870824479,-1,4.08615533696014,0,0.790107898479352,0.588311937916605,0.49025042144882,0.692114189962837,".8006.",0.0874724045433753
83,18,0.0875712744601642,0.0891441976024745,0.691717023336485,1,3.68408935275804,0,0.676005499013567,1,3.26908402899299,0,0.791935114235781,0.612916459634368,0.48774332951558,0.657492122130885,".8006.",0.0883577360313194
84,18,0.0891441976024745,0.0893000329649336,0.675512216147415,0,-9.96578428466209,1,0.65884385485788,1,3.68408935275804,0,0.783663004027406,0.550484154757811,0.485132726366842,0.691624496463049,".8006.",0.089222115283704
85,18,0.0893000329649336,0.0898505392681163,0.661999752486486,1,3.89273101498314,0,0.691717023336485,0,-9.96578428466209,1,0.788360762534369,0.605223004600962,0.468042814036915,0.655983974031912,".8006.",0.0895752861165249
86,18,0.0898505392681163,0.0927239691646298,0.659676774386558,0,-9.96578428466209,1,0.675512216147415,1,3.89273101498314,0,0.791684230214925,0.609320385561042,0.481894650833522,0.662213239758835,".8006.",0.091287254216373
87,18,0.0927239691646298,0.0941513588750292,0.657598961995331,-1,3.44442854133194,1,0.661999752486486,0,-9.96578428466209,1,0.797616629217616,0.620262371118625,0.493625586408224,0.668522782947408,".8006.",0.0934376640198295
88,18,0.0941513588750292,0.0962430986863359,0.658891340951657,1,3.78189472301692,1,0.659676774386558,-1,3.44442854133194,1,0.799856286643678,0.619023700772175,0.51981284783916,0.661565505577854,".8006.",0.0951972287806825
89,18,0.0962430986863359,0.0969233620350344,0.657196385787713,1,3.76807843501646,0,0.657598961995331,1,3.78189472301692,1,0.798122197227947,0.636180009189836,0.517138767238059,0.661545241787726,".8006.",0.0965832303606851
90,18,0.0969233620350344,0.0992910890726937,0.657666131888242,-1,3.75411785955205,1,0.658891340951657,1,3.76807843501646,0,0.796206730342969,0.634270832277802,0.535939364043257,0.662126684935361,".8006.",0.0981072255538641
91,18,0.0992910890726937,0.104108908824618,0.699177519664024,1,3.04098182939227,1,0.657196385787713,-1,3.75411785955205,1,0.79502414625299,0.624635180106229,0.511784695172772,0.6630095749562,".8006.",0.101699998948656
92,18,0.104108908824618,0.104385766987128,0.6891701537601,-1,3.89749214905636,1,0.657666131888242,1,3.04098182939227,1,0.79042542377146,0.622214052793613,0.516627889246355,0.658062078688007,".8006.",0.104247337905873
93,18,0.104385766987128,0.105136128254556,0.702766027322026,0,-9.96578428466209,1,0.699177519664024,-1,3.89749214905636,1,0.790709061208344,0.634908826590657,0.50312415166828,0.680165962543214,".8006.",0.104760947620842
94,18,0.105136128254556,0.10549344847607,0.82366312081484,1,4.18698380489447,0,0.6891701537601,0,-9.96578428466209,1,0.794767677301408,0.632418187259668,0.521635981005751,0.685320050047665,".8007.",0.105314788365313
95,18,0.10549344847607,0.105516092816164,0.675042774907215,-1,3.59490679026094,1,0.702766027322026,1,4.18698380489447,0,0.804341874783248,0.582332525724214,0.565399642142903,0.694901536324124,".8007.",0.105504770646117
96,18,0.105516092816164,0.105850606952298,0.66291853186142,-1,3.5349580265839,1,0.82366312081484,-1,3.59490679026094,1,0.785141149817689,0.631571189845096,0.511621322515231,0.665186871323836,".8007.",0.105683349884231
97,18,0.105850606952298,0.106080036420062,0.666961534113359,-1,3.33853851368556,0,0.675042774907215,-1,3.5349580265839,1,0.798488375138156,0.615678398921379,0.509916285277175,0.694509070440594,".8007.",0.10596532168618
98,18,0.106080036420062,0.107116997893019,0.68036842538126,1,4.38335178259883,1,0.66291853186142,-1,3.33853851368556,0,0.806997637449704,0.76713218948997,0.605538936996506,0.718706397593599,".8007.",0.10659851715654
99,18,0.107116997893019,0.107681041032477,0.685039703817774,1,4.00893501719282,1,0.666961534113359,1,4.38335178259883,1,0.837127945067274,0.749101571507543,0.554660995009775,0.829265180648846,".8007.",0.107399019462748
100,18,0.107681041032477,0.108206862516569,0.661195905640194,1,4.3742535569105,1,0.68036842538126,1,4.00893501719282,1,0.800742946460003,0.661073346734272,0.546429853011524,0.693471550940347,".8008.",0.107943951774523
101,18,0.108206862516569,0.111761849724072,0.718510146826033,0,-9.96578428466209,1,0.685039703817774,1,4.3742535569105,1,0.798640039894842,0.641022014198263,0.510211440840902,0.678427341771063,".8008.",0.10998435612032
102,18,0.111761849724072,0.111833813934568,0.672044328076824,0,-9.96578428466209,0,0.661195905640194,0,-9.96578428466209,1,0.791499944018754,0.65268892634845,0.581291913247079,0.675315323044876,".8008.",0.11179783182932
103,18,0.111833813934568,0.112895398016891,0.675418817815041,1,4.23047203307408,0,0.718510146826033,0,-9.96578428466209,0,0.809422760317704,0.769857664242791,0.611505732133288,0.705960902114431,".8008.8009.8010.",0.112364605975729
104,18,0.112895398016891,0.113266902055826,0.680247058536056,0,-9.96578428466209,1,0.672044328076824,1,4.23047203307408,0,0.836840399489896,0.797325523696343,0.64886076761285,0.755265481554807,".8009.8010.",0.113081150036358
105,18,0.113266902055826,0.113820705474462,0.665616486492158,-1,3.84085595602563,1,0.675418817815041,0,-9.96578428466209,1,0.884937448488158,0.844927670685218,0.656414853697394,0.808101909152496,".8009.8010.",0.113543803765144
106,18,0.113820705474462,0.116141464169344,0.864871185030105,-1,3.17270991918585,0,0.680247058536056,-1,3.84085595602563,1,0.80794829872567,0.69922997720474,0.525812477415598,0.750501595331798,".8009.8010.",0.114981084821903
107,18,0.116141464169344,0.116148979104189,0.668766071389612,0,-9.96578428466209,0,0.665616486492158,-1,3.17270991918585,0,0.958684365714141,0.835246933802488,0.738756911229364,0.91272658385803,".8009.8011.",0.116145221636766
108,18,0.116148979104189,0.118405562246212,0.681481444104085,-1,3.71862465766503,0,0.864871185030105,0,-9.96578428466209,0,0.819665762249341,0.73629517474665,0.577865275257665,0.728147528653173,".8009.8011.",0.1172772706752
109,18,0.118405562246212,0.118815910037769,0.666179426323808,-1,4.04806176806926,1,0.668766071389612,-1,3.71862465766503,0,0.790180543807638,0.671144026806364,0.521553965175829,0.763748588122997,".8009.8011.",0.11861073614199
110,18,0.118815910037769,0.119596866048215,0.672657244528317,1,3.76807843501646,1,0.681481444104085,-1,4.04806176806926,1,0.807465622736606,0.70264795470935,0.531741046140221,0.736694381729362,".8012.",0.119206388042992
111,18,0.119596866048215,0.120211473252586,0.670880303296862,-1,2.97933944567821,1,0.666179426323808,1,3.76807843501646,1,0.817544708596672,0.705846496156725,0.556863060070464,0.734756721734108,".8012.",0.119904169650401
112,18,0.120211473252586,0.120359457747683,0.674455703659345,-1,3.50193588176626,0,0.672657244528317,-1,2.97933944567821,1,0.802671472759576,0.679402508821791,0.700539208256569,0.686805089716143,".8012.",0.120285465500135
113,18,0.120359457747683,0.120971103769119,0.684694265501174,-1,3.75587033726332,1,0.670880303296862,-1,3.50193588176626,0,0.830157347623141,0.71523490759492,0.595463161549291,0.736679074189084,".8012.",0.120665280758401
114,18,0.120971103769119,0.121578569297,0.702589302418537,-1,3.14088824410091,1,0.674455703659345,-1,3.75587033726332,1,0.799046017294218,0.651854207268261,0.522968650036513,0.743951335665503,".8012.",0.121274836533059
115,18,0.121578569297,0.121841019687076,0.658976198922483,-1,4.08197015737348,0,0.684694265501174,-1,3.14088824410091,1,0.803807937075464,0.603989353297401,0.521213988213292,0.712733517962288,".",0.121709794492038
116,18,0.121841019687076,0.122320656670932,0.662167813767039,0,-9.96578428466209,1,0.702589302418537,-1,4.08197015737348,0,0.795183136238962,0.658185061809949,0.503809886606698,0.716933242636168,".",0.122080838179004
117,18,0.122320656670932,0.123815456839919,0.699350677643253,-1,3.89432304019369,0,0.658976198922483,0,-9.96578428466209,1,0.820461924453146,0.71720846222987,0.563262096023443,0.744468336835455,".",0.123068056755426
118,18,0.123815456839919,0.124064942723195,0.66172693737718,1,4.3220002278361,1,0.662167813767039,-1,3.89432304019369,0,0.795268292996879,0.65704969569025,0.553913500885324,0.784429324800979,".8013.",0.123940199781557
119,18,0.124064942723195,0.124823341487162,0.660303444907378,1,4.28365513051515,1,0.699350677643253,1,4.3220002278361,1,0.794203119154716,0.613413772625933,0.5095536064364,0.682891369611926,".8013.",0.124444142105178
120,18,0.124823341487162,0.129869371396229,0.672205575604166,0,-9.96578428466209,0,0.66172693737718,1,4.28365513051515,1,0.79823715774334,0.647334489932018,0.515773818555417,0.67598944558973,".8013.",0.127346356441696
121,18,0.129869371396229,0.130527065056505,0.678361088046672,0,-9.96578428466209,1,0.660303444907378,0,-9.96578428466209,0,0.803901683501965,0.680775490760706,0.575200048094962,0.680577072630116,".8013.",0.130198218226367
122,18,0.130527065056505,0.130873349272709,0.81524416661997,0,-9.96578428466209,0,0.672205575604166,0,-9.96578428466209,1,0.803486282567934,0.616510015050044,0.526976625480599,0.655501939608793,".8013.",0.130700207164607
123,18,0.130873349272709,0.130892945336252,0.685514819977412,-1,3.23432350188559,1,0.678361088046672,0,-9.96578428466209,0,0.808965306088415,0.649665305942671,0.6633292806859,0.681795888796442,".8013.",0.130883147304481
124,18,0.130892945336252,0.131394766308233,0.652630185737051,1,4.4616464219002,1,0.81524416661997,-1,3.23432350188559,1,0.836755281966396,0.75175083740392,0.59526763997053,0.779319064184362,".8013.8014.",0.131143855822242
